Image,Annotation,Astrocyte_Count,Annotation_Area_mm2,Astrocytes_per_mm2
2026_05_25__RecognizedCode_03-Scene-10-ScanRegion9_maxproj,DG,293,0.4448,658.70
2026_05_25__RecognizedCode_03-Scene-10-ScanRegion9_maxproj,DG,287,0.4448,645.21
2026_05_25__RecognizedCode_03-Scene-10-ScanRegion9_maxproj,DG,273,0.4448,613.74
2026_05_25__RecognizedCode_03-Scene-10-ScanRegion9_maxproj,DG,113,0.4448,254.04
2026_05_25__RecognizedCode_03-Scene-10-ScanRegion9_maxproj,DG,495,0.4448,1112.83
2026_05_25__RecognizedCode_03-Scene-10-ScanRegion9_maxproj,DG,410,0.4448,921.73
2026_05_25__RecognizedCode_03-Scene-10-ScanRegion9_maxproj,DG,375,0.4448,843.05
2026_05_25__RecognizedCode_03-Scene-10-ScanRegion9_maxproj,DG,346,0.4448,777.85
2026_05_25__RecognizedCode_03-Scene-10-ScanRegion9_maxproj,DG,94,0.4448,211.32
2026_05_25__RecognizedCode_03-Scene-10-ScanRegion9_maxproj,DG,475,0.4448,1067.86
2026_05_25__RecognizedCode_03-Scene-10-ScanRegion9_maxproj,DG,16,0.6603,24.23
2026_05_25__RecognizedCode_03-Scene-10-ScanRegion9_maxproj,DG,815,0.6603,1234.29
2026_05_25__RecognizedCode_03-Scene-10-ScanRegion9_maxproj,DG,507,0.6603,767.84
2026_05_25__RecognizedCode_03-Scene-10-ScanRegion9_maxproj,DG,49,0.6603,74.21
2026_05_25__RecognizedCode_03-Scene-10-ScanRegion9_maxproj,DG,513,0.6603,776.92
2026_05_25__RecognizedCode_03-Scene-10-ScanRegion9_maxproj,DG,513,0.6603,776.92
2026_05_25__RecognizedCode_03-Scene-10-ScanRegion9_maxproj,DG,513,0.6603,776.92
2026_05_25__RecognizedCode_03-Scene-10-ScanRegion9_maxproj,DG,13,0.6603,19.69
2026_05_25__RecognizedCode_03-Scene-10-ScanRegion9_maxproj,DG,619,0.6603,937.46
2026_05_25__RecognizedCode_03-Scene-10-ScanRegion9_maxproj,DG,619,0.6603,937.46,2026-06-17 13:26:04
2026_05_25__RecognizedCode_03-Scene-10-ScanRegion9_maxproj,DG,619,0.6603,937.46,2026-06-18 21:06:41
2026_05_25__RecognizedCode_04-Scene-01-ScanRegion0_maxproj,DG,607,0.6459,939.82,2026-06-18 21:07:02
2026_05_25__RecognizedCode_04-Scene-02-ScanRegion1_maxproj,DG,698,0.8601,811.54,2026-06-18 21:07:30
2026_05_25__RecognizedCode_04-Scene-03-ScanRegion2_maxproj,DG,577,0.6427,897.72,2026-06-18 21:07:49
2026_05_25__RecognizedCode_04-Scene-04-ScanRegion3_maxproj,DG,594,0.6359,934.08,2026-06-18 21:08:07
2026_05_25__RecognizedCode_04-Scene-05-ScanRegion4_maxproj,DG,390,0.5917,659.14,2026-06-18 21:08:33
2026_05_25__RecognizedCode_04-Scene-06-ScanRegion5_maxproj,DG,236,0.5205,453.40,2026-06-18 21:08:49
2026_05_25__RecognizedCode_04-Scene-07-ScanRegion6_maxproj,DG,669,0.7069,946.39,2026-06-18 21:09:06
2026_05_25__RecognizedCode_04-Scene-08-ScanRegion7_maxproj,DG,687,0.8057,852.67,2026-06-18 21:09:23
2026_05_25__RecognizedCode_04-Scene-09-ScanRegion8_maxproj,DG,861,0.8241,1044.82,2026-06-18 21:09:43
2026_05_25__RecognizedCode_04-Scene-10-ScanRegion9_maxproj,DG,602,0.8101,743.14,2026-06-18 21:10:00
2026_05_25__RecognizedCode_04-Scene-11-ScanRegion10_maxproj,DG,876,0.8998,973.58,2026-06-18 21:10:23
2026_05_25__RecognizedCode_04-Scene-12-ScanRegion11_maxproj,DG,1161,1.5813,734.19,2026-06-18 21:10:44
2026_05_25__RecognizedCode_04-Scene-13-ScanRegion12_maxproj,DG,527,0.7981,660.35,2026-06-18 21:11:09
2026_05_25__RecognizedCode_05-Scene-01-ScanRegion0_maxproj,DG,488,0.7847,621.87,2026-06-18 21:11:30
2026_05_25__RecognizedCode_05-Scene-02-ScanRegion1_maxproj,DG,708,0.9101,777.97,2026-06-18 21:11:46
2026_05_25__RecognizedCode_05-Scene-03-ScanRegion2_maxproj,DG,650,0.8240,788.86,2026-06-18 21:12:04
2026_05_25__RecognizedCode_05-Scene-04-ScanRegion3_maxproj,DG,656,0.8248,795.36,2026-06-18 21:12:23
2026_05_25__RecognizedCode_05-Scene-05-ScanRegion4_maxproj,DG,433,0.6113,708.29,2026-06-18 21:12:44
2026_05_25__RecognizedCode_05-Scene-06-ScanRegion5_maxproj,DG,283,0.4495,629.54,2026-06-18 21:13:01
2026_05_25__RecognizedCode_05-Scene-07-ScanRegion6_maxproj,DG,518,0.6041,857.48,2026-06-18 21:13:17
2026_05_25__RecognizedCode_05-Scene-08-ScanRegion7_maxproj,DG,572,0.6698,853.94,2026-06-18 21:13:39
2026_05_25__RecognizedCode_05-Scene-09-ScanRegion8_maxproj,DG,449,0.7435,603.90,2026-06-18 21:13:58
2026_05_25__RecognizedCode_05-Scene-10-ScanRegion9_maxproj,DG,433,0.6738,642.61,2026-06-18 21:14:16
2026_05_25__RecognizedCode_05-Scene-11-ScanRegion10_maxproj,DG,513,0.5560,922.64,2026-06-18 21:14:30
2026_05_25__RecognizedCode_05-Scene-12-ScanRegion11_maxproj,DG,569,0.6272,907.18,2026-06-18 21:14:47
2026_05_25__RecognizedCode_06-Scene-1-ScanRegion0_maxproj,DG,332,0.5149,644.81,2026-06-18 21:15:04
2026_05_25__RecognizedCode_06-Scene-2-ScanRegion1_maxproj,DG,441,0.7227,610.19,2026-06-18 21:15:21
2026_05_25__RecognizedCode_06-Scene-3-ScanRegion2_maxproj,DG,400,0.6953,575.32,2026-06-18 21:15:39
2026_05_25__RecognizedCode_06-Scene-4-ScanRegion3_maxproj,DG,475,0.6737,705.09,2026-06-18 21:15:56
2026_05_25__RecognizedCode_06-Scene-5-ScanRegion4_maxproj,DG,445,0.5887,755.90,2026-06-18 21:16:13
2026_05_25__RecognizedCode_06-Scene-6-ScanRegion5_maxproj,DG,784,0.7692,1019.21,2026-06-18 21:16:28
2026_05_25__RecognizedCode_06-Scene-7-ScanRegion6_maxproj,DG,511,0.7507,680.69,2026-06-18 21:16:44
2026_05_25__RecognizedCode_06-Scene-8-ScanRegion7_maxproj,DG,1647,1.6531,996.32,2026-06-18 21:17:11
2026_05_25__RecognizedCode_07-Scene-01-ScanRegion0_maxproj,DG,677,0.8677,780.20,2026-06-18 21:17:30
2026_05_25__RecognizedCode_07-Scene-02-ScanRegion1_maxproj,DG,608,0.5832,1042.45,2026-06-18 21:17:49
2026_05_25__RecognizedCode_07-Scene-03-ScanRegion2_maxproj,DG,202,0.5469,369.34,2026-06-18 21:18:08
2026_05_25__RecognizedCode_07-Scene-04-ScanRegion3_maxproj,DG,855,0.7877,1085.48,2026-06-18 21:18:28
2026_05_25__RecognizedCode_07-Scene-05-ScanRegion4_maxproj,DG,477,0.5514,865.02,2026-06-18 21:18:45
2026_05_25__RecognizedCode_07-Scene-06-ScanRegion5_maxproj,DG,587,0.8156,719.75,2026-06-18 21:19:03
2026_05_25__RecognizedCode_07-Scene-07-ScanRegion6_maxproj,DG,703,0.9617,730.97,2026-06-18 21:19:22
2026_05_25__RecognizedCode_07-Scene-08-ScanRegion7_maxproj,DG,484,0.6652,727.60,2026-06-18 21:19:36
2026_05_25__RecognizedCode_07-Scene-09-ScanRegion8_maxproj,DG,420,0.5661,741.98,2026-06-18 21:19:55
2026_05_25__RecognizedCode_07-Scene-10-ScanRegion9_maxproj,DG,570,0.6755,843.85,2026-06-18 21:20:09
2026_05_25__RecognizedCode_07-Scene-11-ScanRegion10_maxproj,DG,717,0.9979,718.53,2026-06-18 21:20:37
2026_05_25__RecognizedCode_07-Scene-12-ScanRegion11_maxproj,DG,754,0.8799,856.95,2026-06-18 21:21:00
2026_05_25__RecognizedCode_07-Scene-13-ScanRegion12_maxproj,DG,1162,1.4330,810.90,2026-06-18 21:21:22
2026_05_25__RecognizedCode_07-Scene-14-ScanRegion13_maxproj,DG,1173,1.3393,875.85,2026-06-18 21:21:45
2026_05_25__RecognizedCode_07-Scene-15-ScanRegion14_maxproj,DG,3118,1.9285,1616.84,2026-06-18 21:22:13
2026_05_25__RecognizedCode_08-Scene-01-ScanRegion0_maxproj,DG,576,0.7292,789.88,2026-06-18 21:22:34
2026_05_25__RecognizedCode_08-Scene-02-ScanRegion1_maxproj,DG,302,0.5899,511.95,2026-06-18 21:22:54
2026_05_25__RecognizedCode_08-Scene-03-ScanRegion2_maxproj,DG,287,0.6106,470.00,2026-06-18 21:23:13
2026_05_25__RecognizedCode_08-Scene-04-ScanRegion3_maxproj,DG,325,0.5305,612.66,2026-06-18 21:23:34
2026_05_25__RecognizedCode_08-Scene-05-ScanRegion4_maxproj,DG,526,0.7058,745.25,2026-06-18 21:23:52
