Image,Annotation,Astrocyte_Count,Annotation_Area_mm2,Astrocytes_per_mm2,Timestamp
2026_05_29__RecognizedCode_01-Scene-01-ScanRegion0,DG,324,2.7018,119.92,2026-06-28 01:02:18
2026_05_29__RecognizedCode_01-Scene-02-ScanRegion1,DG,459,3.1522,145.61,2026-06-28 01:06:10
2026_05_29__RecognizedCode_01-Scene-03-ScanRegion2,DG,505,2.8099,179.72,2026-06-28 01:10:26
2026_05_29__RecognizedCode_01-Scene-04-ScanRegion3,DG,377,2.2765,165.60,2026-06-28 01:13:48
2026_05_29__RecognizedCode_01-Scene-05-ScanRegion4,DG,183,1.9357,94.54,2026-06-28 01:16:51
2026_05_29__RecognizedCode_01-Scene-06-ScanRegion5,DG,248,1.8422,134.62,2026-06-28 01:19:36
2026_05_29__RecognizedCode_01-Scene-07-ScanRegion6,DG,403,2.8969,139.11,2026-06-28 01:22:13
2026_05_29__RecognizedCode_01-Scene-08-ScanRegion7,DG,357,2.7549,129.58,2026-06-28 01:25:46
2026_05_29__RecognizedCode_01-Scene-09-ScanRegion8,DG,176,2.5840,68.11,2026-06-28 01:29:57
2026_05_29__RecognizedCode_01-Scene-10-ScanRegion9,DG,399,2.9490,135.30,2026-06-28 01:35:31
2026_05_29__RecognizedCode_01-Scene-11-ScanRegion10,DG,156,2.2937,68.01,2026-06-28 01:38:23
2026_05_29__RecognizedCode_01-Scene-12-ScanRegion11,DG,1533,11.9561,128.22,2026-06-28 01:50:14
2026_05_29__RecognizedCode_01-Scene-13-ScanRegion12,DG,592,5.1900,114.07,2026-06-28 01:55:21
2026_05_29__RecognizedCode_01-Scene-14-ScanRegion13,DG,349,2.4418,142.93,2026-06-28 02:03:10
2026_05_29__RecognizedCode_02-Scene-01-ScanRegion0,DG,287,1.9383,148.07,2026-06-28 02:05:41
2026_05_29__RecognizedCode_02-Scene-02-ScanRegion1,DG,409,2.1807,187.55,2026-06-28 02:10:19
2026_05_29__RecognizedCode_02-Scene-03-ScanRegion2,DG,150,1.5886,94.42,2026-06-28 02:13:32
2026_05_29__RecognizedCode_02-Scene-04-ScanRegion3,DG,111,1.5287,72.61,2026-06-28 02:17:27
2026_05_29__RecognizedCode_02-Scene-05-ScanRegion4,DG,310,1.7748,174.67,2026-06-28 02:21:17
2026_05_29__RecognizedCode_02-Scene-06-ScanRegion5,DG,169,1.2819,131.84,2026-06-28 02:25:53
2026_05_29__RecognizedCode_02-Scene-07-ScanRegion6,DG,318,2.1228,149.80,2026-06-28 02:28:28
2026_05_29__RecognizedCode_02-Scene-09-ScanRegion8,DG,321,1.7384,184.65,2026-06-28 02:32:40
2026_05_29__RecognizedCode_02-Scene-10-ScanRegion9,DG,333,3.2666,101.94,2026-06-28 02:36:17
2026_05_29__RecognizedCode_02-Scene-11-ScanRegion10,DG,403,2.8327,142.27,2026-06-28 02:38:58
2026_05_29__RecognizedCode_02-Scene-12-ScanRegion11,DG,175,1.6523,105.91,2026-06-28 02:40:49
2026_05_29__RecognizedCode_02-Scene-13-ScanRegion12,DG,383,3.4072,112.41,2026-06-28 02:44:38
2026_05_29__RecognizedCode_02-Scene-14-ScanRegion13,DG,889,7.6770,115.80,2026-06-28 02:50:37
2026_05_29__RecognizedCode_03-Scene-01-ScanRegion0,DG,347,3.0328,114.42,2026-06-28 02:55:50
2026_05_29__RecognizedCode_03-Scene-02-ScanRegion1,DG,386,3.2094,120.27,2026-06-28 03:01:11
2026_05_29__RecognizedCode_03-Scene-03-ScanRegion2,DG,384,2.9490,130.21,2026-06-28 03:07:21
2026_05_29__RecognizedCode_03-Scene-04-ScanRegion3,DG,337,2.1298,158.23,2026-06-28 03:11:28
2026_05_29__RecognizedCode_03-Scene-05-ScanRegion4,DG,464,2.9351,158.09,2026-06-28 03:16:29
2026_05_29__RecognizedCode_03-Scene-06-ScanRegion5,DG,217,1.8410,117.87,2026-06-28 03:19:15
2026_05_29__RecognizedCode_03-Scene-07-ScanRegion6,DG,246,2.3792,103.40,2026-06-28 03:23:30
2026_05_29__RecognizedCode_03-Scene-08-ScanRegion7,DG,79,1.2634,62.53,2026-06-28 03:24:48
2026_05_29__RecognizedCode_03-Scene-09-ScanRegion8,DG,324,2.7550,117.60,2026-06-28 03:27:51
2026_05_29__RecognizedCode_03-Scene-10-ScanRegion9,DG,171,2.3278,73.46,2026-06-28 03:30:19
2026_05_29__RecognizedCode_03-Scene-11-ScanRegion10,DG,273,3.1764,85.95,2026-06-28 03:32:38
2026_05_29__RecognizedCode_03-Scene-12-ScanRegion11,DG,318,2.4509,129.75,2026-06-28 03:35:45
2026_05_29__RecognizedCode_03-Scene-13-ScanRegion12,DG,654,5.4111,120.86,2026-06-28 03:41:05
2026_05_29__RecognizedCode_04-Scene-01-ScanRegion0,DG,133,1.4902,89.25,2026-06-28 03:42:50
2026_05_29__RecognizedCode_04-Scene-02-ScanRegion1,DG,186,1.4691,126.61,2026-06-28 03:45:00
2026_05_29__RecognizedCode_04-Scene-03-ScanRegion2,DG,196,2.1245,92.26,2026-06-28 03:47:48
2026_05_29__RecognizedCode_04-Scene-04-ScanRegion3,DG,329,2.8813,114.18,2026-06-28 03:52:42
2026_05_29__RecognizedCode_04-Scene-05-ScanRegion4,DG,268,1.9302,138.84,2026-06-28 03:56:03
2026_05_29__RecognizedCode_04-Scene-06-ScanRegion5,DG,240,2.7208,88.21,2026-06-28 04:00:16
2026_05_29__RecognizedCode_04-Scene-07-ScanRegion6,DG,336,2.7304,123.06,2026-06-28 04:03:34
2026_05_29__RecognizedCode_04-Scene-08-ScanRegion7,DG,205,2.0173,101.62,2026-06-28 04:06:24
2026_05_29__RecognizedCode_04-Scene-09-ScanRegion8,DG,231,2.2924,100.77,2026-06-28 04:10:07
2026_05_29__RecognizedCode_04-Scene-10-ScanRegion9,DG,262,2.4739,105.90,2026-06-28 04:12:47
2026_05_29__RecognizedCode_04-Scene-11-ScanRegion10,DG,222,2.3603,94.06,2026-06-28 04:16:23
2026_05_29__RecognizedCode_04-Scene-12-ScanRegion11,DG,319,2.4514,130.13,2026-06-28 04:20:07
2026_05_29__RecognizedCode_04-Scene-13-ScanRegion12,DG,864,5.6967,151.67,2026-06-28 04:26:17
2026_05_29__RecognizedCode_04-Scene-14-ScanRegion13,DG,289,2.4952,115.82,2026-06-28 04:31:09
2026_05_29__RecognizedCode_04-Scene-15-ScanRegion14,DG,1139,9.7030,117.39,2026-06-28 04:38:21
2026_05_29__RecognizedCode_05-Scene-01-ScanRegion0,DG,278,2.5263,110.04,2026-06-28 04:40:29
2026_05_29__RecognizedCode_05-Scene-02-ScanRegion1,DG,254,2.0643,123.04,2026-06-28 04:43:15
2026_05_29__RecognizedCode_05-Scene-03-ScanRegion2,DG,364,3.0992,117.45,2026-06-28 04:45:56
2026_05_29__RecognizedCode_05-Scene-04-ScanRegion3,DG,139,1.9998,69.51,2026-06-28 04:50:15
2026_05_29__RecognizedCode_05-Scene-05-ScanRegion4,DG,141,1.5903,88.66,2026-06-28 04:52:01
2026_05_29__RecognizedCode_05-Scene-06-ScanRegion5,DG,100,1.6759,59.67,2026-06-28 04:54:49
2026_05_29__RecognizedCode_05-Scene-07-ScanRegion6,DG,190,2.1978,86.45,2026-06-28 04:56:45
2026_05_29__RecognizedCode_05-Scene-08-ScanRegion7,DG,369,4.3955,83.95,2026-06-28 05:00:16
2026_05_29__RecognizedCode_05-Scene-09-ScanRegion8,DG,152,1.9643,77.38,2026-06-28 05:04:06
2026_05_29__RecognizedCode_05-Scene-10-ScanRegion9,DG,224,2.5470,87.95,2026-06-28 05:06:36
2026_05_29__RecognizedCode_05-Scene-11-ScanRegion10,DG,387,3.8257,101.16,2026-06-28 05:12:47
2026_05_29__RecognizedCode_05-Scene-12-ScanRegion11,DG,362,3.3169,109.14,2026-06-28 05:17:04
2026_05_29__RecognizedCode_05-Scene-13-ScanRegion12,DG,623,4.9718,125.31,2026-06-28 05:22:51
2026_05_29__RecognizedCode_05-Scene-14-ScanRegion13,DG,209,2.4956,83.75,2026-06-28 05:26:04
2026_05_29__RecognizedCode_05-Scene-15-ScanRegion14,DG,322,3.3372,96.49,2026-06-28 05:29:44
2026_05_29__RecognizedCode_05-Scene-16-ScanRegion15,DG,334,3.4029,98.15,2026-06-28 05:32:31
2026_05_29__RecognizedCode_05-Scene-17-ScanRegion16,DG,214,2.6090,82.02,2026-06-28 05:35:29
2026_05_29__RecognizedCode_05-Scene-18-ScanRegion17,DG,246,2.4971,98.51,2026-06-28 05:40:16
2026_05_29__RecognizedCode_06-Scene-01-ScanRegion0,DG,211,2.3978,88.00,2026-06-28 05:44:00
2026_05_29__RecognizedCode_06-Scene-02-ScanRegion1,DG,107,1.8309,58.44,2026-06-28 05:47:48
2026_05_29__RecognizedCode_06-Scene-03-ScanRegion2,DG,171,1.6133,106.00,2026-06-28 05:51:01
2026_05_29__RecognizedCode_06-Scene-04-ScanRegion3,DG,228,2.4269,93.95,2026-06-28 05:54:37
2026_05_29__RecognizedCode_06-Scene-05-ScanRegion4,DG,114,1.9683,57.92,2026-06-28 05:56:18
2026_05_29__RecognizedCode_06-Scene-06-ScanRegion5,DG,361,3.3376,108.16,2026-06-28 06:03:08
2026_05_29__RecognizedCode_06-Scene-07-ScanRegion6,DG,77,1.3246,58.13,2026-06-28 06:06:49
2026_05_29__RecognizedCode_06-Scene-08-ScanRegion7,DG,291,3.1540,92.26,2026-06-28 06:13:09
2026_05_29__RecognizedCode_06-Scene-09-ScanRegion8,DG,231,2.6450,87.34,2026-06-28 06:18:25
2026_05_29__RecognizedCode_06-Scene-10-ScanRegion9,DG,238,3.2156,74.01,2026-06-28 06:22:33
2026_05_29__RecognizedCode_06-Scene-11-ScanRegion10,DG,267,3.2453,82.27,2026-06-28 06:26:00
2026_05_29__RecognizedCode_06-Scene-12-ScanRegion11,DG,340,3.3660,101.01,2026-06-28 06:32:26
