Age,Animal,Genotype,Mean_per_mm2
11mo (2026-05-29),1,WT,126.1
11mo (2026-05-29),2,Transgenic,132.46
11mo (2026-05-29),3,Transgenic,114.82
11mo (2026-05-29),4,WT,112.65
11mo (2026-05-29),5,WT,94.37
11mo (2026-05-29),6,Transgenic,88.4
11mo (2026-05-29),7,WT,84.9
11mo (2026-05-29),8,WT,98.27
11mo (2026-05-29),9,Transgenic,89.01
11mo (2026-05-29),10,Transgenic,81.11
11mo (2026-05-29),11,WT,76.29
11mo (2026-05-29),12,Transgenic,87.6
6mo (2026-05-25),1,WT,818.54
6mo (2026-05-25),2,Transgenic,820.44
6mo (2026-05-25),3,Transgenic,988.81
6mo (2026-05-25),4,WT,819.3
6mo (2026-05-25),5,WT,759.14
6mo (2026-05-25),6,Transgenic,748.44
6mo (2026-05-25),7,WT,852.38
6mo (2026-05-25),8,WT,693.89
6mo (2026-05-25),9,Transgenic,1070.69
6mo (2026-05-25),10,Transgenic,802.06
6mo (2026-05-25),11,WT,660.09
6mo (2026-05-25),12,Transgenic,1072.0
