Image,Annotation,Mean_GFAP_Intensity,Mean_DAPI_Intensity,GFAP_DAPI_Ratio,Annotation_Area_mm2,Timestamp
2026_05_25__RecognizedCode_01-Scene-01-ScanRegion0_maxproj_4ch.ome.tiff,DG,2053.2180,921.9521,2.227033,0.4335,2026-07-06 20:09:53
2026_05_25__RecognizedCode_02-Scene-10-ScanRegion9_maxproj_4ch.ome.tiff,DG,2925.4785,1398.4686,2.091916,0.4457,2026-07-06 20:10:42
2026_05_25__RecognizedCode_02-Scene-11-ScanRegion10_maxproj_4ch.ome.tiff,DG,4538.4894,1389.8116,3.265543,0.5645,2026-07-06 20:11:03
2026_05_25__RecognizedCode_02-Scene-13-ScanRegion12_maxproj_4ch.ome.tiff,DG,2807.8265,1103.0772,2.545449,0.4009,2026-07-06 20:11:27
2026_05_25__RecognizedCode_03-Scene-01-ScanRegion0_maxproj_4ch.ome.tiff,DG,2673.0722,549.7612,4.862243,0.2707,2026-07-06 20:11:43
2026_05_25__RecognizedCode_03-Scene-02-ScanRegion1_maxproj_4ch.ome.tiff,DG,3231.4923,515.9466,6.263230,0.2407,2026-07-06 20:11:56
2026_05_25__RecognizedCode_03-Scene-03-ScanRegion2_maxproj_4ch.ome.tiff,DG,2901.5128,470.5165,6.166655,0.2717,2026-07-06 20:12:11
2026_05_25__RecognizedCode_03-Scene-04-ScanRegion3_maxproj_4ch.ome.tiff,DG,2658.3746,519.4909,5.117269,0.6099,2026-07-06 20:12:20
2026_05_25__RecognizedCode_03-Scene-05-ScanRegion4_maxproj_4ch.ome.tiff,DG,2773.5517,820.2590,3.381312,0.426,2026-07-06 20:12:52
2026_05_25__RecognizedCode_03-Scene-06-ScanRegion5_maxproj_4ch.ome.tiff,DG,3433.7216,1265.8435,2.712596,0.2485,2026-07-06 20:13:05
2026_05_25__RecognizedCode_03-Scene-07-ScanRegion6_maxproj_4ch.ome.tiff,DG,2803.9744,610.9452,4.589568,0.706,2026-07-06 20:13:20
2026_05_25__RecognizedCode_03-Scene-08-ScanRegion7_maxproj_4ch.ome.tiff,DG,2549.0221,407.9947,6.247685,0.423,2026-07-06 20:13:55
2026_05_25__RecognizedCode_03-Scene-09-ScanRegion8_maxproj_4ch.ome.tiff,DG,2357.7047,511.2514,4.611635,0.3498,2026-07-06 20:14:13
2026_05_25__RecognizedCode_03-Scene-10-ScanRegion9_maxproj_4ch.ome.tiff,DG,2547.3825,385.4520,6.608819,0.3144,2026-07-06 20:14:41
2026_05_25__RecognizedCode_04-Scene-01-ScanRegion0_maxproj_4ch.ome.tiff,DG,2025.5850,816.0673,2.482130,0.3075,2026-07-06 20:15:00
2026_05_25__RecognizedCode_04-Scene-02-ScanRegion1_maxproj_4ch.ome.tiff,DG,2485.4014,660.4283,3.763318,0.4095,2026-07-06 20:15:12
2026_05_25__RecognizedCode_04-Scene-03-ScanRegion2_maxproj_4ch.ome.tiff,DG,3324.6065,1046.5931,3.176599,0.306,2026-07-06 20:15:29
2026_05_25__RecognizedCode_04-Scene-04-ScanRegion3_maxproj_4ch.ome.tiff,DG,2263.9191,815.5177,2.776051,0.3028,2026-07-06 20:15:39
2026_05_25__RecognizedCode_04-Scene-05-ScanRegion4_maxproj_4ch.ome.tiff,DG,2580.3094,851.2027,3.031369,0.2817,2026-07-06 20:15:59
