Image,Annotation,Mean_GFAP_Intensity,Annotation_Area_mm2,Timestamp
2026_05_25__RecognizedCode_01-Scene-01-ScanRegion0_maxproj_4ch.ome.tiff,DG,2053.2180,0.4335,2026-06-30 22:08:01
2026_05_25__RecognizedCode_02-Scene-10-ScanRegion9_maxproj_4ch.ome.tiff,DG,2925.4785,0.4457,2026-06-30 22:08:20
2026_05_25__RecognizedCode_02-Scene-11-ScanRegion10_maxproj_4ch.ome.tiff,DG,4538.4894,0.5645,2026-06-30 22:08:40
2026_05_25__RecognizedCode_02-Scene-13-ScanRegion12_maxproj_4ch.ome.tiff,DG,2807.8265,0.4009,2026-06-30 22:09:23
2026_05_25__RecognizedCode_03-Scene-01-ScanRegion0_maxproj_4ch.ome.tiff,DG,2673.0722,0.2707,2026-06-30 22:09:38
2026_05_25__RecognizedCode_03-Scene-02-ScanRegion1_maxproj_4ch.ome.tiff,DG,3231.4923,0.2407,2026-06-30 22:09:56
2026_05_25__RecognizedCode_03-Scene-03-ScanRegion2_maxproj_4ch.ome.tiff,DG,2901.5128,0.2717,2026-06-30 22:10:06
2026_05_25__RecognizedCode_03-Scene-04-ScanRegion3_maxproj_4ch.ome.tiff,DG,2658.3746,0.6099,2026-06-30 22:10:15
2026_05_25__RecognizedCode_03-Scene-05-ScanRegion4_maxproj_4ch.ome.tiff,DG,2773.5517,0.426,2026-06-30 22:10:28
2026_05_25__RecognizedCode_03-Scene-06-ScanRegion5_maxproj_4ch.ome.tiff,DG,3433.7216,0.2485,2026-06-30 22:10:45
2026_05_25__RecognizedCode_03-Scene-07-ScanRegion6_maxproj_4ch.ome.tiff,DG,2803.9744,0.706,2026-06-30 22:11:03
2026_05_25__RecognizedCode_03-Scene-08-ScanRegion7_maxproj_4ch.ome.tiff,DG,2549.0221,0.423,2026-06-30 22:11:27
2026_05_25__RecognizedCode_03-Scene-09-ScanRegion8_maxproj_4ch.ome.tiff,DG,2357.7047,0.3498,2026-06-30 22:11:43
2026_05_25__RecognizedCode_03-Scene-10-ScanRegion9_maxproj_4ch.ome.tiff,DG,2547.3825,0.3144,2026-06-30 22:12:03
2026_05_25__RecognizedCode_04-Scene-01-ScanRegion0_maxproj_4ch.ome.tiff,DG,2025.5850,0.3075,2026-06-30 22:12:14
2026_05_25__RecognizedCode_04-Scene-02-ScanRegion1_maxproj_4ch.ome.tiff,DG,2485.4014,0.4095,2026-06-30 22:12:23
2026_05_25__RecognizedCode_04-Scene-03-ScanRegion2_maxproj_4ch.ome.tiff,DG,3324.6065,0.306,2026-06-30 22:12:33
2026_05_25__RecognizedCode_04-Scene-04-ScanRegion3_maxproj_4ch.ome.tiff,DG,2263.9191,0.3028,2026-06-30 22:12:46
2026_05_25__RecognizedCode_04-Scene-05-ScanRegion4_maxproj_4ch.ome.tiff,DG,2580.3094,0.2817,2026-06-30 22:12:57
2026_05_25__RecognizedCode_04-Scene-06-ScanRegion5_maxproj_4ch.ome.tiff,DG,2425.6704,0.2478,2026-06-30 22:13:10
2026_05_25__RecognizedCode_04-Scene-07-ScanRegion6_maxproj_4ch.ome.tiff,DG,1996.0410,0.3366,2026-06-30 22:13:24
2026_05_25__RecognizedCode_04-Scene-08-ScanRegion7_maxproj_4ch.ome.tiff,DG,1979.1378,0.3836,2026-06-30 22:13:40
2026_05_25__RecognizedCode_04-Scene-09-ScanRegion8_maxproj_4ch.ome.tiff,DG,2072.7624,0.3923,2026-06-30 22:13:55
2026_05_25__RecognizedCode_04-Scene-10-ScanRegion9_maxproj_4ch.ome.tiff,DG,2921.6307,0.3857,2026-06-30 22:14:13
2026_05_25__RecognizedCode_04-Scene-11-ScanRegion10_maxproj_4ch.ome.tiff,DG,2162.4880,0.4284,2026-06-30 22:14:29
2026_05_25__RecognizedCode_04-Scene-12-ScanRegion11_maxproj_4ch.ome.tiff,DG,2038.4727,0.7529,2026-06-30 22:14:45
2026_05_25__RecognizedCode_04-Scene-13-ScanRegion12_maxproj_4ch.ome.tiff,DG,2214.0298,0.38,2026-06-30 22:15:07
2026_05_25__RecognizedCode_05-Scene-01-ScanRegion0_maxproj_4ch.ome.tiff,DG,1865.6037,0.3736,2026-06-30 22:15:21
2026_05_25__RecognizedCode_05-Scene-02-ScanRegion1_maxproj_4ch.ome.tiff,DG,1979.6777,0.4333,2026-06-30 22:15:33
2026_05_25__RecognizedCode_05-Scene-03-ScanRegion2_maxproj_4ch.ome.tiff,DG,1826.9899,0.3923,2026-06-30 22:15:45
2026_05_25__RecognizedCode_05-Scene-04-ScanRegion3_maxproj_4ch.ome.tiff,DG,1955.7433,0.3927,2026-06-30 22:16:05
2026_05_25__RecognizedCode_05-Scene-05-ScanRegion4_maxproj_4ch.ome.tiff,DG,2211.5956,0.2911,2026-06-30 22:16:17
2026_05_25__RecognizedCode_05-Scene-06-ScanRegion5_maxproj_4ch.ome.tiff,DG,2290.9707,0.214,2026-06-30 22:16:26
2026_05_25__RecognizedCode_05-Scene-07-ScanRegion6_maxproj_4ch.ome.tiff,DG,1969.2159,0.2876,2026-06-30 22:16:32
2026_05_25__RecognizedCode_05-Scene-08-ScanRegion7_maxproj_4ch.ome.tiff,DG,2024.9091,0.3189,2026-06-30 22:16:43
2026_05_25__RecognizedCode_05-Scene-09-ScanRegion8_maxproj_4ch.ome.tiff,DG,1678.3413,0.354,2026-06-30 22:16:56
2026_05_25__RecognizedCode_05-Scene-10-ScanRegion9_maxproj_4ch.ome.tiff,DG,2032.5132,0.3208,2026-06-30 22:17:06
2026_05_25__RecognizedCode_05-Scene-11-ScanRegion10_maxproj_4ch.ome.tiff,DG,2182.3402,0.2647,2026-06-30 22:17:27
2026_05_25__RecognizedCode_05-Scene-12-ScanRegion11_maxproj_4ch.ome.tiff,DG,2250.0422,0.2986,2026-06-30 22:17:36
2026_05_25__RecognizedCode_06-Scene-1-ScanRegion0_maxproj_4ch.ome.tiff,DG,2632.9712,0.2451,2026-06-30 22:17:52
2026_05_25__RecognizedCode_06-Scene-2-ScanRegion1_maxproj_4ch.ome.tiff,DG,2756.6543,0.3441,2026-06-30 22:18:04
2026_05_25__RecognizedCode_06-Scene-3-ScanRegion2_maxproj_4ch.ome.tiff,DG,2449.5467,0.331,2026-06-30 22:18:19
2026_05_25__RecognizedCode_06-Scene-4-ScanRegion3_maxproj_4ch.ome.tiff,DG,2494.3584,0.3207,2026-06-30 22:18:34
2026_05_25__RecognizedCode_06-Scene-5-ScanRegion4_maxproj_4ch.ome.tiff,DG,2969.8264,0.2803,2026-06-30 22:18:46
2026_05_25__RecognizedCode_06-Scene-6-ScanRegion5_maxproj_4ch.ome.tiff,DG,2899.1074,0.3662,2026-06-30 22:18:57
2026_05_25__RecognizedCode_06-Scene-7-ScanRegion6_maxproj_4ch.ome.tiff,DG,2953.3076,0.3574,2026-06-30 22:19:12
2026_05_25__RecognizedCode_06-Scene-8-ScanRegion7_maxproj_4ch.ome.tiff,DG,2422.1662,0.787,2026-06-30 22:19:34
2026_05_25__RecognizedCode_07-Scene-01-ScanRegion0_maxproj_4ch.ome.tiff,DG,1939.7334,0.4131,2026-06-30 22:19:53
2026_05_25__RecognizedCode_07-Scene-02-ScanRegion1_maxproj_4ch.ome.tiff,DG,1900.6740,0.2777,2026-06-30 22:20:22
2026_05_25__RecognizedCode_07-Scene-03-ScanRegion2_maxproj_4ch.ome.tiff,DG,3106.3189,0.2604,2026-06-30 22:20:38
