Image,Annotation,Mean_GFAP_Intensity,Background_Intensity,Mean_GFAP_Corrected,Annotation_Area_mm2,Timestamp
2026_05_25__RecognizedCode_10-Scene-08-ScanRegion7_maxproj_4ch.ome.tiff,DG,1617.2714,541.0322,1076.2392,0.4683,2026-07-06 12:40:32
2026_05_25__RecognizedCode_01-Scene-01-ScanRegion0_maxproj_4ch.ome.tiff,DG,2053.2180,600.6474,1452.5706,0.4335,2026-07-06 12:40:55
2026_05_25__RecognizedCode_02-Scene-10-ScanRegion9_maxproj_4ch.ome.tiff,DG,2925.4785,944.0203,1981.4582,0.4457,2026-07-06 12:41:03
2026_05_25__RecognizedCode_02-Scene-11-ScanRegion10_maxproj_4ch.ome.tiff,DG,4538.4894,1023.6008,3514.8886,0.5645,2026-07-06 12:41:09
2026_05_25__RecognizedCode_02-Scene-13-ScanRegion12_maxproj_4ch.ome.tiff,DG,2807.8265,290.8087,2517.0178,0.4009,2026-07-06 12:41:18
2026_05_25__RecognizedCode_03-Scene-01-ScanRegion0_maxproj_4ch.ome.tiff,DG,2673.0722,1023.1119,1649.9604,0.2707,2026-07-06 12:41:23
2026_05_25__RecognizedCode_03-Scene-02-ScanRegion1_maxproj_4ch.ome.tiff,DG,3231.4923,1130.7636,2100.7287,0.2407,2026-07-06 12:41:27
2026_05_25__RecognizedCode_03-Scene-03-ScanRegion2_maxproj_4ch.ome.tiff,DG,2901.5128,1149.2612,1752.2516,0.2717,2026-07-06 12:41:32
2026_05_25__RecognizedCode_03-Scene-04-ScanRegion3_maxproj_4ch.ome.tiff,DG,2658.3746,877.5471,1780.8275,0.6099,2026-07-06 12:41:36
2026_05_25__RecognizedCode_03-Scene-05-ScanRegion4_maxproj_4ch.ome.tiff,DG,2773.5517,943.0852,1830.4665,0.426,2026-07-06 12:41:41
2026_05_25__RecognizedCode_03-Scene-06-ScanRegion5_maxproj_4ch.ome.tiff,DG,3433.7216,1164.4381,2269.2834,0.2485,2026-07-06 12:41:46
2026_05_25__RecognizedCode_03-Scene-07-ScanRegion6_maxproj_4ch.ome.tiff,DG,2803.9744,746.5241,2057.4503,0.706,2026-07-06 12:41:51
2026_05_25__RecognizedCode_03-Scene-08-ScanRegion7_maxproj_4ch.ome.tiff,DG,2549.0221,893.8556,1655.1665,0.423,2026-07-06 12:41:57
2026_05_25__RecognizedCode_03-Scene-09-ScanRegion8_maxproj_4ch.ome.tiff,DG,2357.7047,271.9960,2085.7087,0.3498,2026-07-06 12:42:02
2026_05_25__RecognizedCode_03-Scene-10-ScanRegion9_maxproj_4ch.ome.tiff,DG,2547.3825,843.0071,1704.3754,0.3144,2026-07-06 12:42:07
2026_05_25__RecognizedCode_04-Scene-01-ScanRegion0_maxproj_4ch.ome.tiff,DG,2025.5850,858.4423,1167.1427,0.3075,2026-07-06 12:42:12
2026_05_25__RecognizedCode_04-Scene-02-ScanRegion1_maxproj_4ch.ome.tiff,DG,2485.4014,775.5951,1709.8063,0.4095,2026-07-06 12:42:16
2026_05_25__RecognizedCode_04-Scene-03-ScanRegion2_maxproj_4ch.ome.tiff,DG,3324.6065,1154.8058,2169.8007,0.306,2026-07-06 12:42:21
2026_05_25__RecognizedCode_04-Scene-04-ScanRegion3_maxproj_4ch.ome.tiff,DG,2263.9191,900.2736,1363.6455,0.3028,2026-07-06 12:42:26
2026_05_25__RecognizedCode_04-Scene-05-ScanRegion4_maxproj_4ch.ome.tiff,DG,2580.3094,921.9395,1658.3699,0.2817,2026-07-06 12:42:30
2026_05_25__RecognizedCode_04-Scene-06-ScanRegion5_maxproj_4ch.ome.tiff,DG,2425.6704,857.6545,1568.0159,0.2478,2026-07-06 12:42:34
2026_05_25__RecognizedCode_04-Scene-07-ScanRegion6_maxproj_4ch.ome.tiff,DG,1996.0410,794.8159,1201.2250,0.3366,2026-07-06 12:42:38
2026_05_25__RecognizedCode_04-Scene-08-ScanRegion7_maxproj_4ch.ome.tiff,DG,1979.1378,367.7071,1611.4307,0.3836,2026-07-06 12:42:42
2026_05_25__RecognizedCode_04-Scene-09-ScanRegion8_maxproj_4ch.ome.tiff,DG,2072.7624,838.1230,1234.6395,0.3923,2026-07-06 12:42:48
2026_05_25__RecognizedCode_04-Scene-10-ScanRegion9_maxproj_4ch.ome.tiff,DG,2921.6307,619.3658,2302.2649,0.3857,2026-07-06 12:42:53
2026_05_25__RecognizedCode_04-Scene-11-ScanRegion10_maxproj_4ch.ome.tiff,DG,2162.4880,481.5804,1680.9076,0.4284,2026-07-06 12:42:58
2026_05_25__RecognizedCode_04-Scene-12-ScanRegion11_maxproj_4ch.ome.tiff,DG,2038.4727,271.1477,1767.3251,0.7529,2026-07-06 12:43:03
2026_05_25__RecognizedCode_04-Scene-13-ScanRegion12_maxproj_4ch.ome.tiff,DG,2214.0298,908.1564,1305.8734,0.38,2026-07-06 12:43:09
2026_05_25__RecognizedCode_05-Scene-01-ScanRegion0_maxproj_4ch.ome.tiff,DG,1865.6037,809.5674,1056.0362,0.3736,2026-07-06 12:43:14
2026_05_25__RecognizedCode_05-Scene-02-ScanRegion1_maxproj_4ch.ome.tiff,DG,1979.6777,807.4872,1172.1905,0.4333,2026-07-06 12:43:20
2026_05_25__RecognizedCode_05-Scene-03-ScanRegion2_maxproj_4ch.ome.tiff,DG,1826.9899,602.8594,1224.1305,0.3923,2026-07-06 12:43:24
2026_05_25__RecognizedCode_05-Scene-04-ScanRegion3_maxproj_4ch.ome.tiff,DG,1955.7433,734.2235,1221.5198,0.3927,2026-07-06 12:43:30
2026_05_25__RecognizedCode_05-Scene-05-ScanRegion4_maxproj_4ch.ome.tiff,DG,2211.5956,856.2564,1355.3392,0.2911,2026-07-06 12:43:35
2026_05_25__RecognizedCode_05-Scene-06-ScanRegion5_maxproj_4ch.ome.tiff,DG,2290.9707,872.5107,1418.4601,0.214,2026-07-06 12:43:39
2026_05_25__RecognizedCode_05-Scene-07-ScanRegion6_maxproj_4ch.ome.tiff,DG,1969.2159,815.9261,1153.2898,0.2876,2026-07-06 12:43:43
2026_05_25__RecognizedCode_05-Scene-08-ScanRegion7_maxproj_4ch.ome.tiff,DG,2024.9091,587.4516,1437.4575,0.3189,2026-07-06 12:43:49
2026_05_25__RecognizedCode_05-Scene-09-ScanRegion8_maxproj_4ch.ome.tiff,DG,1678.3413,707.7419,970.5994,0.354,2026-07-06 12:43:54
2026_05_25__RecognizedCode_05-Scene-10-ScanRegion9_maxproj_4ch.ome.tiff,DG,2032.5132,530.7812,1501.7320,0.3208,2026-07-06 12:43:58
2026_05_25__RecognizedCode_05-Scene-11-ScanRegion10_maxproj_4ch.ome.tiff,DG,2182.3402,802.8884,1379.4518,0.2647,2026-07-06 12:44:04
2026_05_25__RecognizedCode_05-Scene-12-ScanRegion11_maxproj_4ch.ome.tiff,DG,2250.0422,893.8174,1356.2248,0.2986,2026-07-06 12:44:08
2026_05_25__RecognizedCode_06-Scene-1-ScanRegion0_maxproj_4ch.ome.tiff,DG,2632.9712,1032.6225,1600.3487,0.2451,2026-07-06 12:44:13
2026_05_25__RecognizedCode_06-Scene-2-ScanRegion1_maxproj_4ch.ome.tiff,DG,2756.6543,870.9945,1885.6599,0.3441,2026-07-06 12:44:18
2026_05_25__RecognizedCode_06-Scene-3-ScanRegion2_maxproj_4ch.ome.tiff,DG,2449.5467,925.9708,1523.5759,0.331,2026-07-06 12:44:22
2026_05_25__RecognizedCode_06-Scene-4-ScanRegion3_maxproj_4ch.ome.tiff,DG,2494.3584,770.6632,1723.6952,0.3207,2026-07-06 12:44:28
2026_05_25__RecognizedCode_06-Scene-5-ScanRegion4_maxproj_4ch.ome.tiff,DG,2969.8264,980.2056,1989.6208,0.2803,2026-07-06 12:44:33
