Image,Annotation,Nestin_Count,Nestin_Density_per_mm2,Nestin_Intensity_Threshold,SGZ_Area_mm2,Timestamp
2026_05_29__RecognizedCode_01-Scene-01-ScanRegion0_maxproj_4ch,SGZ,36,427.55,500.0,0.0842,2026-07-22 13:20:44
2026_05_29__RecognizedCode_01-Scene-02-ScanRegion1_maxproj_4ch,SGZ,67,674.72,500.0,0.0993,2026-07-22 13:20:56
2026_05_29__RecognizedCode_01-Scene-03-ScanRegion2_maxproj_4ch,SGZ,50,744.05,500.0,0.0672,2026-07-22 13:21:07
2026_05_29__RecognizedCode_01-Scene-04-ScanRegion3_maxproj_4ch,SGZ,55,840.98,500.0,0.0654,2026-07-22 13:21:17
2026_05_29__RecognizedCode_01-Scene-05-ScanRegion4_maxproj_4ch,SGZ,33,680.41,500.0,0.0485,2026-07-22 13:21:26
2026_05_29__RecognizedCode_01-Scene-06-ScanRegion5_maxproj_4ch,SGZ,21,429.45,500.0,0.0489,2026-07-22 13:21:37
2026_05_29__RecognizedCode_01-Scene-07-ScanRegion6_maxproj_4ch,SGZ,48,593.33,500.0,0.0809,2026-07-22 13:21:47
2026_05_29__RecognizedCode_01-Scene-08-ScanRegion7_maxproj_4ch,SGZ,66,571.92,500.0,0.1154,2026-07-22 13:22:02
2026_05_29__RecognizedCode_01-Scene-09-ScanRegion8_maxproj_4ch,SGZ,27,289.70,500.0,0.0932,2026-07-22 13:22:20
2026_05_29__RecognizedCode_01-Scene-10-ScanRegion9_maxproj_4ch,SGZ,45,769.23,500.0,0.0585,2026-07-22 13:22:36
2026_05_29__RecognizedCode_01-Scene-11-ScanRegion10_maxproj_4ch,SGZ,46,794.47,500.0,0.0579,2026-07-22 13:22:45
2026_05_29__RecognizedCode_01-Scene-12-ScanRegion11_maxproj_4ch,SGZ,136,487.28,500.0,0.2791,2026-07-22 13:23:16
2026_05_29__RecognizedCode_01-Scene-14-ScanRegion13_maxproj_4ch,SGZ,50,456.20,500.0,0.1096,2026-07-22 13:23:34
2026_05_29__RecognizedCode_02-Scene-02-ScanRegion1_maxproj_4ch,SGZ,57,729.83,500.0,0.0781,2026-07-22 13:23:51
2026_05_29__RecognizedCode_02-Scene-03-ScanRegion2_maxproj_4ch,SGZ,20,671.14,500.0,0.0298,2026-07-22 13:24:01
2026_05_29__RecognizedCode_02-Scene-05-ScanRegion4_maxproj_4ch,SGZ,38,786.75,500.0,0.0483,2026-07-22 13:24:13
